adorimel,adorimell,1967
Adorimel,adorimell,1974
adorkado,adorkado,1907
adorrpenn,adorrpenn,1847
adostberr,adostberr,1907
adosttedost,adostdadost,1849
adostiktra,adostiktra,1905
adoulladou,adoullado,1868
adoullado,adoullado,1865
adoulladou,adoullado,1906
adourtadou,adourtado,1955
trafall,adrafall,1612
tramat,adravat,1612
Adravir,adrawir,1866
adranvad,adrainvat,1902
adrainvat,adrainvat,1908
adrefu,adrefu,1867
adreistholl,adreistholl,1924
adrspar,adreistpar,1893
adrespar,adreistpar,1900
adrestpar,adreistpar,1931
adrzhagadal,adreuzhagadal,1910
adrzhagadal,adreuzhagadal,1934
adreushacahed,adreuzhagahed,1877
adreuzhagahed,adreuzhagahed,1902
adreuzhagahed,adreuzhagahed,1909
adreuzhagahed,adreuzhagahed,1834
adreushacahed,adreuzhagahed,1878
adreuzhagahed,adreuzhagahed,1659
adreushagahet,adreuzhagahed,1878
adreuzhagahed,adreuzhagahed,1900
adreuzhagahed,adreuzhagahed,1911
adreuzhagahed,adreuzhagahed,1732
adreuzhent,adreuzhent,1862
adrojouez,adreuzjouadreuzo,1923
adreujou,adreuzjouadreuzo,1931
adreuzjou,adreuzjouadreuzo,1955
adreuzkaer,adreuzkaer,1929
adrzkaer,adreuzkaer,1939
adrzkaer,adreuzkaer,1939
adreuzskoaz,adreuzskoaz,1938
adreuzskoaz,adreuzskoaz,1957
adreustroad,adreuztroad,1908
adreuzvichanz,adreuzviziez,1910
ac'houezeadreuzvor,adreuzvor,1878
adreuzwel,adreuzwel,1943
adree,adreze,1924
adrezeg,adrezek,1958
adro,adro,1913
adro,adro,1936
adro,adro,1883
Adro,adro,1890
adro,adro,1913
adro,adro,1907
adro,adro,1931
Adro,adro,1938
Adro,adro,1872
adro,adro,1913
adro,adro,1843
adro,adro,1868
Adro,adro,1913
adrochouk,adrochouk,1877
adrochouk,adrochouk,1910
adroetro,adroetro,1869
adroetro,adroetro,1880
adrofall,adrofall,1936
adrocolier,adrogolier,1874
adrhatr,adrohatro,1887
adrohatro,adrohatro,1907
adrohatro,adrohatro,1909
adrohatro,adrohatro,1922
adrohir,adrohir,1908
adrokein,adrokein,1907
adroken,adrokein,1923
adrocont,adrokont,1867
adrovrec'h,adrovrec'h,1922
Adroc'haskel,adroc'haskell,1866
Adroc'htl,adroc'htaol,1907
Adroc'htaol,adroc'htaol,1931
adroh,adroc'h,1905
adrouc'h,adroc'h,1941
adropadeu,adropado,1821
adruhegh,adruegezh,1900
adruhgeh,adruegezh,1912
adruilldrask,adruilhdrask,1961
adudedu,adudadu,1891
aeilrenk,aeilrenk,1958
aenepkrenn,aenepkrenn,1862
inou,aeno,1792
in,aeno,1818
ainou,aeno,1844
anou,aeno,1855
ainou,aeno,1907
Aino,aeno,1921
aino,aeno,1924
aginou,aeno,1839
Aginou,aeno,1907
azoaevezwar,aevezh,1865
afa,afa,1982
afars,afars,1877
afa,afas,1834
afassda,afas,1872
afasd',afas,1896
afasda,afas,1961
afasdezha,afas,1973
Afadesn,afas,1854
afetnos,afednoz,1727
afdnoz,afednoz,1841
afdnoz,afednoz,1844
afdnoz,afednoz,1854
afednoz,afednoz,1900
afetnoz,afednoz,1919
afesquenneu,afeskenno,1857
afechenneu,afeskenno,1861
fetakaer,afetakaer,2001
afinqes,afinkaezh,1850
afond,afont,1854
aforhad,aforc'had,1931
aforhadeu,aforc'hado,1897
aforhadeu,aforc'hado,1939
avonjadou,afozado,1902
afuilh,afuilh,1923
afuilh,afuilh,1980
afuill,afuilh,1981
Agabochkaer,agaboch,1928
agafourch,agafourch,1932
agakuadou,agakuado,1868
agantchou,aganto,1847
aganchou,aganto,1868
aganchou,aganto,1894
Aganteu,aganto,1902
agantchou,aganto,1912
agantou,aganto,1929
agarradeu,agarrado,1897
agarradou,agarrado,1941
Agemmdremmda,agemmdremmda,1910
aguetan,agenta,1861
ageta,agenta,1896
agetan,agenta,1905
agetan,agenta,1907
Agetan,agenta,1913
agetama,agenta,1896
agetanpenn,agentapenn,1913
aguetanrah,agentarazh,1843
aguetanrah,agentarazh,1861
agetarah,agentarazh,1896
agign,agign,1928
agildro,agildro,1935
agilwidkaer,agilwedkaer,1925
aglanvele,aglavwele,1772
Mervel,aglavwele,1872
mervel,aglavwele,1890
aglohad,agloc'had,1844
aglohad,agloc'had,1924
Agochado,agochad,1974
commance,agomas,1767
gommancc,agomas,1804
agommance,agomas,1829
agommance,agomas,1838
agomman,agomas,1857
agommans,agomas,1897
Agomans,agomas,1904
Agomz,agomz,1924
agonfont,agofont,1903
agorfmaro,agorfmarv,1932
agorvroched,agorfroched,1906
agorvroched,agorfroched,1973
agorfroched,agorfroched,1912
agorfroched,agorfroched,1935
agorfroched,agorfroched,1936
agorvsuhun,agorfsizhun,1909
agornadeu,agornado,1913
kredgred,agredac'hred,1732
agreis,agreiz,1792
agreiz,agreiz,1633
agreiz,agreiz,1849
agreiz,agreiz,1847
agreiz,agreiz,1902
agreiz,agreiz,1911
